39.94 W, 32, 29, 0 %, 0 %
39.94 W, 32, 29, 0 %, 0 %
56.61 W, 33, 30, 1 %, 0 %
66.93 W, 33, 30, 21 %, 1 %
67.42 W, 33, 30, 26 %, 1 %
56.61 W, 33, 30, 18 %, 1 %
65.94 W, 33, 30, 27 %, 2 %
74.74 W, 34, 30, 56 %, 5 %
89.95 W, 34, 31, 80 %, 9 %
84.55 W, 35, 31, 86 %, 9 %
85.04 W, 35, 31, 73 %, 9 %
78.17 W, 35, 31, 69 %, 8 %
87.99 W, 35, 31, 79 %, 9 %
85.54 W, 35, 31, 75 %, 9 %
81.12 W, 35, 32, 79 %, 9 %
82.10 W, 35, 32, 75 %, 9 %
88.48 W, 35, 31, 79 %, 9 %
89.46 W, 35, 32, 74 %, 9 %
89.95 W, 35, 32, 76 %, 9 %
87.50 W, 35, 32, 78 %, 9 %
85.54 W, 35, 32, 63 %, 8 %
88.48 W, 35, 32, 73 %, 9 %
83.57 W, 35, 32, 72 %, 8 %
88.97 W, 36, 32, 83 %, 9 %
81.61 W, 36, 32, 75 %, 9 %
92.41 W, 36, 32, 69 %, 9 %
87.50 W, 36, 32, 77 %, 9 %
83.08 W, 36, 32, 76 %, 9 %
90.94 W, 36, 32, 75 %, 9 %
85.04 W, 36, 32, 85 %, 9 %
87.99 W, 36, 32, 78 %, 9 %
87.50 W, 36, 32, 74 %, 9 %
88.42 W, 36, 33, 75 %, 9 %
87.99 W, 36, 33, 78 %, 9 %
85.54 W, 36, 32, 85 %, 9 %
92.35 W, 36, 33, 69 %, 9 %
82.59 W, 36, 33, 81 %, 9 %
87.50 W, 36, 33, 77 %, 9 %
90.94 W, 36, 33, 73 %, 9 %
83.08 W, 36, 33, 79 %, 9 %
87.99 W, 36, 33, 79 %, 9 %
83.08 W, 36, 33, 73 %, 9 %
86.03 W, 36, 33, 67 %, 8 %
86.03 W, 36, 33, 67 %, 8 %
86.03 W, 36, 33, 73 %, 9 %
86.03 W, 36, 33, 78 %, 9 %
86.03 W, 36, 33, 74 %, 9 %
88.97 W, 36, 33, 68 %, 8 %
88.97 W, 36, 33, 73 %, 9 %
82.59 W, 36, 33, 68 %, 8 %
87.01 W, 37, 33, 69 %, 8 %
87.50 W, 37, 33, 80 %, 9 %
87.93 W, 37, 33, 79 %, 9 %
83.57 W, 37, 33, 82 %, 9 %
88.48 W, 37, 33, 70 %, 9 %
85.04 W, 37, 33, 70 %, 8 %
89.46 W, 37, 33, 73 %, 9 %
86.52 W, 37, 33, 73 %, 9 %
87.44 W, 37, 33, 71 %, 9 %
90.94 W, 37, 33, 81 %, 9 %
85.04 W, 37, 33, 78 %, 9 %
83.08 W, 37, 34, 79 %, 9 %
84.06 W, 37, 34, 64 %, 8 %
87.01 W, 37, 34, 74 %, 8 %
90.44 W, 37, 33, 73 %, 9 %
84.55 W, 37, 34, 72 %, 9 %
85.97 W, 37, 34, 78 %, 9 %
87.50 W, 37, 34, 77 %, 9 %
90.94 W, 37, 34, 83 %, 9 %
87.50 W, 37, 34, 75 %, 9 %
86.52 W, 37, 34, 76 %, 8 %
88.91 W, 37, 34, 73 %, 9 %
87.99 W, 37, 34, 73 %, 9 %
85.54 W, 37, 34, 79 %, 9 %
89.95 W, 37, 34, 61 %, 8 %
89.46 W, 37, 34, 76 %, 9 %
86.52 W, 37, 34, 76 %, 9 %
87.50 W, 37, 34, 70 %, 8 %
87.99 W, 37, 34, 70 %, 9 %
88.48 W, 37, 34, 75 %, 9 %
84.06 W, 37, 34, 70 %, 8 %
88.42 W, 37, 34, 71 %, 8 %
88.97 W, 37, 34, 69 %, 9 %
87.44 W, 37, 34, 69 %, 9 %
86.03 W, 37, 34, 69 %, 8 %
87.93 W, 37, 34, 79 %, 9 %
90.44 W, 37, 34, 68 %, 8 %
83.57 W, 37, 34, 75 %, 9 %
87.01 W, 37, 34, 71 %, 8 %
90.44 W, 37, 34, 81 %, 9 %
85.54 W, 37, 33, 71 %, 9 %
82.59 W, 37, 34, 80 %, 9 %
88.91 W, 37, 34, 63 %, 8 %
88.97 W, 37, 34, 77 %, 9 %
88.97 W, 37, 34, 79 %, 9 %
89.89 W, 37, 34, 80 %, 9 %
87.01 W, 37, 34, 78 %, 9 %
85.54 W, 37, 34, 75 %, 9 %
84.06 W, 37, 34, 74 %, 9 %
84.55 W, 37, 34, 62 %, 8 %
89.40 W, 37, 34, 81 %, 9 %
87.50 W, 37, 34, 79 %, 9 %
86.03 W, 37, 34, 81 %, 9 %
85.54 W, 37, 34, 82 %, 9 %
88.48 W, 37, 34, 80 %, 9 %
80.63 W, 37, 34, 70 %, 8 %
82.10 W, 37, 34, 78 %, 9 %
86.03 W, 37, 34, 78 %, 9 %
88.48 W, 37, 34, 75 %, 9 %
87.01 W, 37, 34, 77 %, 9 %
85.54 W, 37, 34, 59 %, 8 %
87.99 W, 37, 34, 74 %, 9 %
88.91 W, 37, 34, 70 %, 9 %
89.95 W, 37, 34, 72 %, 9 %
