39.94 W, 32, 30, 0 %, 0 %
39.94 W, 33, 30, 0 %, 0 %
39.94 W, 32, 30, 0 %, 0 %
63.00 W, 34, 30, 30 %, 1 %
63.00 W, 34, 30, 21 %, 1 %
63.00 W, 34, 30, 24 %, 1 %
56.61 W, 34, 30, 22 %, 1 %
58.08 W, 34, 30, 29 %, 1 %
90.44 W, 35, 31, 94 %, 10 %
87.01 W, 35, 31, 82 %, 10 %
88.97 W, 35, 31, 90 %, 10 %
90.44 W, 35, 32, 89 %, 10 %
88.48 W, 35, 32, 86 %, 10 %
88.91 W, 35, 32, 84 %, 10 %
82.59 W, 36, 32, 76 %, 9 %
87.99 W, 36, 32, 92 %, 10 %
87.50 W, 36, 32, 97 %, 11 %
84.55 W, 36, 32, 85 %, 10 %
89.46 W, 36, 32, 98 %, 11 %
90.44 W, 36, 32, 94 %, 10 %
89.46 W, 36, 32, 86 %, 10 %
87.50 W, 36, 33, 85 %, 10 %
86.03 W, 36, 32, 92 %, 10 %
92.84 W, 36, 33, 94 %, 10 %
86.52 W, 36, 33, 85 %, 10 %
87.50 W, 36, 33, 92 %, 10 %
90.94 W, 36, 33, 87 %, 10 %
88.91 W, 36, 33, 95 %, 10 %
88.48 W, 36, 33, 95 %, 11 %
90.44 W, 37, 33, 99 %, 11 %
87.50 W, 37, 33, 95 %, 11 %
88.42 W, 37, 33, 70 %, 9 %
89.46 W, 37, 33, 87 %, 10 %
87.50 W, 37, 33, 89 %, 10 %
87.99 W, 37, 33, 84 %, 10 %
89.46 W, 37, 33, 92 %, 10 %
86.03 W, 37, 34, 81 %, 10 %
90.88 W, 37, 33, 98 %, 11 %
90.94 W, 37, 34, 97 %, 11 %
89.46 W, 37, 33, 75 %, 9 %
88.91 W, 37, 34, 99 %, 11 %
90.94 W, 37, 34, 87 %, 10 %
91.43 W, 37, 34, 99 %, 11 %
91.37 W, 37, 34, 92 %, 10 %
89.46 W, 37, 34, 95 %, 11 %
89.89 W, 37, 34, 81 %, 10 %
90.94 W, 37, 34, 90 %, 10 %
90.88 W, 37, 34, 91 %, 10 %
91.86 W, 37, 34, 81 %, 10 %
89.89 W, 38, 34, 84 %, 10 %
86.03 W, 38, 34, 86 %, 10 %
91.43 W, 38, 34, 92 %, 10 %
89.46 W, 38, 34, 98 %, 11 %
91.43 W, 38, 34, 93 %, 10 %
91.37 W, 38, 34, 89 %, 10 %
89.46 W, 38, 34, 96 %, 11 %
87.01 W, 38, 34, 83 %, 10 %
86.52 W, 38, 34, 82 %, 10 %
87.99 W, 38, 34, 77 %, 9 %
86.03 W, 38, 35, 92 %, 11 %
90.94 W, 38, 35, 92 %, 10 %
90.94 W, 38, 35, 96 %, 11 %
82.10 W, 38, 35, 80 %, 10 %
89.46 W, 38, 35, 81 %, 10 %
87.50 W, 38, 35, 87 %, 10 %
89.95 W, 38, 35, 83 %, 10 %
91.43 W, 38, 35, 92 %, 10 %
90.94 W, 38, 35, 86 %, 10 %
88.48 W, 38, 35, 97 %, 11 %
89.95 W, 38, 35, 87 %, 10 %
87.99 W, 38, 35, 91 %, 10 %
90.39 W, 38, 35, 87 %, 10 %
88.97 W, 38, 35, 98 %, 11 %
92.35 W, 38, 35, 98 %, 11 %
93.88 W, 38, 34, 88 %, 10 %
90.94 W, 38, 34, 80 %, 10 %
91.86 W, 38, 35, 97 %, 11 %
91.92 W, 38, 35, 76 %, 9 %
93.39 W, 38, 34, 83 %, 10 %
92.41 W, 38, 35, 65 %, 9 %
91.86 W, 38, 35, 75 %, 10 %
90.94 W, 38, 35, 93 %, 10 %
92.90 W, 38, 35, 90 %, 10 %
90.44 W, 38, 34, 94 %, 10 %
90.44 W, 38, 35, 93 %, 10 %
89.95 W, 38, 35, 97 %, 11 %
87.99 W, 38, 35, 95 %, 10 %
89.46 W, 38, 35, 98 %, 11 %
91.92 W, 38, 35, 79 %, 10 %
91.43 W, 38, 35, 92 %, 11 %
91.43 W, 38, 35, 99 %, 11 %
88.97 W, 38, 35, 85 %, 10 %
91.43 W, 38, 35, 98 %, 11 %
92.35 W, 38, 35, 92 %, 11 %
89.95 W, 38, 35, 97 %, 11 %
83.08 W, 38, 35, 87 %, 10 %
89.95 W, 38, 35, 81 %, 10 %
91.43 W, 38, 35, 87 %, 10 %
87.50 W, 38, 35, 98 %, 11 %
91.86 W, 38, 35, 81 %, 10 %
87.01 W, 38, 35, 75 %, 10 %
89.46 W, 38, 35, 84 %, 10 %
90.88 W, 38, 35, 92 %, 11 %
85.54 W, 38, 35, 77 %, 10 %
89.46 W, 38, 35, 89 %, 10 %
93.39 W, 38, 35, 98 %, 11 %
87.99 W, 38, 35, 95 %, 10 %
93.82 W, 38, 35, 76 %, 10 %
85.04 W, 38, 35, 94 %, 11 %
90.44 W, 38, 35, 91 %, 10 %
90.94 W, 38, 35, 96 %, 10 %
90.44 W, 38, 35, 95 %, 11 %
89.95 W, 38, 35, 89 %, 10 %
89.46 W, 38, 35, 97 %, 11 %
90.44 W, 38, 35, 98 %, 11 %
87.01 W, 38, 35, 84 %, 10 %
90.94 W, 38, 35, 92 %, 10 %
90.44 W, 38, 35, 87 %, 10 %
90.44 W, 38, 35, 92 %, 10 %
90.94 W, 38, 35, 96 %, 10 %
91.86 W, 38, 35, 82 %, 10 %
89.40 W, 38, 35, 79 %, 10 %
92.90 W, 38, 35, 94 %, 10 %
89.89 W, 38, 35, 83 %, 10 %
85.54 W, 38, 35, 90 %, 10 %
91.92 W, 38, 35, 95 %, 10 %
88.97 W, 38, 35, 96 %, 11 %
85.04 W, 38, 35, 91 %, 10 %
86.52 W, 38, 35, 91 %, 10 %
91.86 W, 38, 35, 79 %, 10 %
85.54 W, 38, 35, 83 %, 10 %
90.44 W, 38, 35, 98 %, 11 %
92.41 W, 38, 35, 87 %, 10 %
90.94 W, 38, 35, 69 %, 9 %
92.41 W, 38, 35, 92 %, 10 %
90.44 W, 39, 35, 98 %, 11 %
89.46 W, 39, 35, 96 %, 11 %
90.94 W, 39, 35, 86 %, 10 %
88.48 W, 39, 35, 98 %, 11 %
89.40 W, 39, 36, 95 %, 11 %
87.50 W, 39, 35, 82 %, 10 %
90.94 W, 39, 35, 90 %, 10 %
84.06 W, 39, 36, 79 %, 10 %
91.92 W, 39, 35, 89 %, 10 %
89.46 W, 39, 36, 96 %, 10 %
90.94 W, 39, 36, 82 %, 10 %
86.03 W, 39, 36, 98 %, 11 %
91.92 W, 39, 36, 98 %, 11 %
91.92 W, 39, 36, 74 %, 9 %
89.89 W, 39, 36, 82 %, 10 %
91.92 W, 39, 36, 91 %, 11 %
90.44 W, 39, 36, 97 %, 11 %
93.39 W, 39, 36, 89 %, 10 %
91.37 W, 39, 36, 96 %, 11 %
89.89 W, 39, 36, 76 %, 9 %
90.94 W, 39, 36, 97 %, 11 %
87.99 W, 39, 36, 79 %, 9 %
91.43 W, 39, 36, 87 %, 10 %
94.37 W, 39, 36, 76 %, 9 %
92.41 W, 39, 36, 96 %, 11 %
90.94 W, 39, 36, 98 %, 11 %
91.43 W, 39, 36, 91 %, 11 %
87.93 W, 39, 36, 91 %, 10 %
89.46 W, 39, 36, 94 %, 11 %
91.92 W, 39, 36, 93 %, 10 %
86.52 W, 39, 36, 88 %, 10 %
90.39 W, 39, 36, 96 %, 11 %
90.94 W, 39, 36, 98 %, 11 %
88.48 W, 39, 36, 89 %, 10 %
89.40 W, 39, 36, 90 %, 10 %
87.01 W, 39, 36, 75 %, 10 %
90.44 W, 39, 36, 96 %, 11 %
86.52 W, 39, 36, 92 %, 10 %
92.35 W, 39, 36, 76 %, 10 %
89.89 W, 39, 36, 98 %, 11 %
85.54 W, 39, 36, 88 %, 10 %
86.52 W, 39, 36, 92 %, 10 %
89.46 W, 39, 36, 84 %, 10 %
90.44 W, 39, 36, 85 %, 10 %
88.97 W, 39, 36, 74 %, 9 %
86.03 W, 39, 36, 81 %, 10 %
89.89 W, 39, 35, 84 %, 10 %
93.33 W, 39, 36, 90 %, 10 %
85.04 W, 39, 36, 93 %, 10 %
92.35 W, 39, 35, 92 %, 11 %
89.95 W, 39, 36, 90 %, 10 %
91.37 W, 39, 36, 91 %, 10 %
91.86 W, 39, 35, 95 %, 11 %
92.35 W, 39, 35, 75 %, 10 %
88.48 W, 39, 36, 92 %, 11 %
89.46 W, 39, 36, 88 %, 10 %
88.48 W, 39, 36, 92 %, 11 %
90.39 W, 39, 36, 78 %, 10 %
91.43 W, 39, 36, 79 %, 10 %
87.99 W, 39, 36, 94 %, 11 %
95.35 W, 39, 36, 88 %, 10 %
92.41 W, 39, 36, 93 %, 10 %
89.95 W, 39, 36, 96 %, 10 %
90.39 W, 39, 36, 66 %, 9 %
90.94 W, 39, 36, 85 %, 10 %
92.90 W, 39, 36, 88 %, 10 %
87.50 W, 39, 36, 78 %, 10 %
89.46 W, 39, 36, 90 %, 10 %
91.43 W, 39, 36, 99 %, 11 %
90.94 W, 39, 36, 83 %, 10 %
91.43 W, 39, 36, 78 %, 10 %
89.46 W, 39, 36, 96 %, 11 %
91.92 W, 39, 36, 98 %, 11 %
90.44 W, 39, 36, 93 %, 10 %
88.97 W, 39, 36, 95 %, 10 %
88.48 W, 39, 36, 91 %, 10 %
92.90 W, 39, 36, 95 %, 10 %
92.90 W, 39, 36, 72 %, 9 %
88.48 W, 39, 36, 98 %, 11 %
87.50 W, 39, 36, 64 %, 9 %
91.92 W, 39, 36, 88 %, 10 %
91.37 W, 39, 36, 85 %, 10 %
91.37 W, 39, 36, 88 %, 10 %
87.93 W, 39, 36, 95 %, 10 %
92.90 W, 39, 36, 85 %, 10 %
90.44 W, 39, 36, 99 %, 11 %
85.04 W, 39, 36, 90 %, 10 %
90.94 W, 39, 36, 80 %, 10 %
88.97 W, 39, 36, 97 %, 11 %
86.52 W, 39, 36, 93 %, 10 %
89.95 W, 39, 36, 97 %, 11 %
88.48 W, 39, 36, 94 %, 10 %
89.46 W, 39, 36, 83 %, 10 %
86.03 W, 39, 36, 80 %, 10 %
87.99 W, 39, 36, 96 %, 11 %
88.91 W, 39, 36, 90 %, 11 %
89.46 W, 39, 36, 85 %, 10 %
90.94 W, 39, 36, 87 %, 10 %
89.46 W, 39, 36, 81 %, 10 %
89.95 W, 39, 36, 98 %, 11 %
92.90 W, 39, 36, 89 %, 10 %
94.37 W, 39, 36, 98 %, 11 %
85.04 W, 39, 36, 93 %, 11 %
90.88 W, 39, 36, 92 %, 10 %
88.97 W, 39, 36, 87 %, 10 %
91.43 W, 39, 36, 83 %, 10 %
88.48 W, 39, 36, 88 %, 10 %
91.92 W, 39, 36, 94 %, 10 %
92.41 W, 39, 36, 82 %, 10 %
84.06 W, 39, 36, 59 %, 8 %
89.95 W, 39, 36, 87 %, 10 %
89.40 W, 39, 36, 81 %, 10 %
86.52 W, 39, 36, 79 %, 9 %
91.43 W, 39, 36, 94 %, 11 %
92.41 W, 39, 36, 87 %, 10 %
85.54 W, 39, 36, 95 %, 10 %
87.99 W, 39, 36, 94 %, 11 %
90.44 W, 39, 36, 88 %, 10 %
90.88 W, 39, 36, 88 %, 10 %
88.97 W, 39, 36, 81 %, 10 %
89.95 W, 39, 36, 91 %, 10 %
92.35 W, 39, 36, 88 %, 10 %
88.97 W, 39, 36, 80 %, 10 %
94.80 W, 39, 36, 67 %, 9 %
89.95 W, 39, 36, 93 %, 10 %
91.92 W, 39, 36, 92 %, 10 %
92.84 W, 39, 36, 80 %, 10 %
92.90 W, 39, 36, 96 %, 11 %
86.52 W, 39, 36, 70 %, 9 %
90.94 W, 39, 36, 94 %, 10 %
90.44 W, 39, 36, 91 %, 10 %
90.44 W, 39, 36, 76 %, 10 %
89.46 W, 39, 36, 97 %, 11 %
90.88 W, 39, 36, 93 %, 10 %
90.94 W, 39, 36, 83 %, 10 %
87.01 W, 39, 36, 90 %, 10 %
88.97 W, 39, 36, 92 %, 10 %
84.55 W, 39, 36, 96 %, 10 %
86.52 W, 39, 36, 87 %, 10 %
90.88 W, 39, 36, 74 %, 9 %
89.95 W, 39, 36, 89 %, 10 %
85.04 W, 39, 36, 95 %, 11 %
93.88 W, 39, 36, 93 %, 10 %
91.92 W, 39, 36, 88 %, 11 %
87.50 W, 39, 36, 94 %, 11 %
82.10 W, 39, 36, 86 %, 10 %
