40.43 W, 33, 30, 0 %, 0 %
40.43 W, 33, 30, 0 %, 0 %
57.10 W, 34, 30, 11 %, 0 %
57.10 W, 34, 31, 12 %, 0 %
57.59 W, 34, 31, 10 %, 0 %
57.10 W, 34, 31, 15 %, 1 %
75.23 W, 35, 31, 42 %, 4 %
74.29 W, 35, 31, 44 %, 4 %
79.64 W, 35, 31, 42 %, 4 %
73.75 W, 35, 31, 42 %, 4 %
74.25 W, 35, 32, 37 %, 4 %
77.68 W, 35, 32, 41 %, 4 %
78.17 W, 35, 32, 45 %, 4 %
75.23 W, 35, 31, 41 %, 4 %
78.17 W, 35, 32, 37 %, 4 %
76.21 W, 35, 32, 45 %, 4 %
75.72 W, 35, 32, 47 %, 4 %
77.19 W, 35, 32, 40 %, 4 %
74.79 W, 35, 32, 42 %, 4 %
78.66 W, 35, 32, 45 %, 4 %
76.70 W, 36, 32, 46 %, 4 %
73.26 W, 36, 32, 41 %, 4 %
75.23 W, 36, 32, 45 %, 4 %
75.72 W, 36, 32, 46 %, 4 %
80.14 W, 36, 32, 45 %, 4 %
79.15 W, 36, 32, 41 %, 4 %
75.72 W, 36, 32, 43 %, 4 %
75.72 W, 36, 32, 43 %, 4 %
74.25 W, 36, 32, 43 %, 4 %
78.17 W, 36, 32, 43 %, 4 %
74.25 W, 36, 32, 37 %, 4 %
73.26 W, 36, 32, 41 %, 4 %
78.17 W, 36, 32, 40 %, 4 %
75.72 W, 36, 32, 40 %, 4 %
75.23 W, 36, 32, 36 %, 4 %
76.21 W, 36, 32, 40 %, 4 %
75.72 W, 36, 32, 44 %, 4 %
73.75 W, 36, 32, 39 %, 4 %
73.75 W, 36, 32, 40 %, 4 %
76.21 W, 36, 32, 31 %, 3 %
74.25 W, 36, 32, 38 %, 4 %
77.19 W, 36, 32, 38 %, 4 %
77.19 W, 36, 32, 44 %, 4 %
74.74 W, 36, 32, 43 %, 4 %
76.70 W, 36, 32, 41 %, 4 %
76.70 W, 36, 32, 42 %, 4 %
75.23 W, 36, 32, 39 %, 4 %
75.72 W, 36, 32, 43 %, 4 %
75.23 W, 36, 32, 43 %, 4 %
77.68 W, 36, 32, 38 %, 4 %
75.23 W, 36, 32, 46 %, 4 %
74.74 W, 36, 32, 45 %, 4 %
75.23 W, 36, 32, 46 %, 4 %
74.74 W, 36, 32, 38 %, 4 %
75.72 W, 36, 32, 45 %, 4 %
75.72 W, 36, 32, 40 %, 4 %
78.17 W, 36, 33, 46 %, 4 %
75.23 W, 36, 33, 36 %, 4 %
75.23 W, 36, 33, 37 %, 4 %
74.74 W, 36, 32, 39 %, 4 %
75.23 W, 36, 33, 38 %, 4 %
74.74 W, 36, 33, 34 %, 3 %
74.74 W, 36, 33, 42 %, 4 %
79.15 W, 36, 33, 46 %, 4 %
75.23 W, 36, 33, 46 %, 4 %
78.17 W, 36, 33, 42 %, 4 %
75.23 W, 36, 33, 44 %, 4 %
76.70 W, 37, 33, 54 %, 10 %
197.92 W, 39, 37, 82 %, 37 %
204.37 W, 40, 38, 94 %, 38 %
80.14 W, 38, 34, 68 %, 15 %
104.61 W, 38, 35, 75 %, 27 %
198.28 W, 39, 37, 66 %, 6 %
73.75 W, 38, 34, 65 %, 14 %
104.47 W, 39, 36, 89 %, 26 %
74.25 W, 38, 34, 60 %, 8 %
92.84 W, 39, 35, 74 %, 22 %
201.93 W, 39, 37, 60 %, 6 %
77.68 W, 39, 35, 64 %, 12 %
200.73 W, 40, 38, 68 %, 6 %
78.17 W, 38, 35, 64 %, 12 %
113.52 W, 39, 36, 87 %, 28 %
197.79 W, 39, 37, 74 %, 6 %
77.68 W, 38, 35, 68 %, 14 %
112.46 W, 39, 36, 83 %, 27 %
216.38 W, 40, 37, 67 %, 6 %
76.21 W, 38, 35, 64 %, 14 %
110.92 W, 39, 36, 82 %, 27 %
189.60 W, 38, 36, 46 %, 5 %
80.14 W, 38, 35, 71 %, 15 %
116.88 W, 39, 36, 86 %, 28 %
206.60 W, 40, 37, 72 %, 6 %
79.64 W, 39, 35, 59 %, 13 %
106.01 W, 39, 36, 84 %, 27 %
76.21 W, 38, 35, 62 %, 7 %
105.17 W, 39, 36, 60 %, 12 %
97.81 W, 40, 37, 77 %, 14 %
80.63 W, 38, 35, 60 %, 9 %
111.97 W, 39, 36, 77 %, 25 %
212.12 W, 40, 37, 67 %, 5 %
82.59 W, 39, 35, 64 %, 11 %
114.91 W, 39, 36, 73 %, 27 %
157.77 W, 39, 36, 63 %, 6 %
78.17 W, 39, 35, 61 %, 14 %
101.11 W, 39, 36, 89 %, 27 %
