39.94 W, 32, 30, 0 %, 0 %
39.94 W, 32, 30, 0 %, 0 %
56.61 W, 33, 30, 1 %, 0 %
57.10 W, 33, 30, 31 %, 1 %
57.10 W, 33, 30, 20 %, 1 %
57.10 W, 34, 30, 19 %, 1 %
57.59 W, 34, 30, 18 %, 1 %
60.54 W, 34, 30, 31 %, 2 %
80.63 W, 35, 31, 82 %, 7 %
83.57 W, 35, 31, 81 %, 7 %
81.61 W, 35, 31, 76 %, 7 %
81.12 W, 35, 32, 81 %, 7 %
83.08 W, 35, 32, 69 %, 7 %
85.04 W, 35, 31, 81 %, 7 %
81.61 W, 35, 32, 95 %, 8 %
83.08 W, 35, 32, 92 %, 8 %
81.61 W, 36, 32, 93 %, 8 %
78.66 W, 36, 32, 63 %, 6 %
79.64 W, 36, 32, 83 %, 7 %
83.08 W, 36, 32, 77 %, 7 %
80.14 W, 36, 32, 76 %, 7 %
82.59 W, 36, 32, 91 %, 8 %
83.57 W, 36, 32, 80 %, 7 %
84.06 W, 36, 32, 82 %, 7 %
82.59 W, 36, 32, 86 %, 7 %
77.19 W, 36, 32, 67 %, 6 %
84.06 W, 36, 33, 92 %, 8 %
80.63 W, 36, 32, 88 %, 8 %
81.61 W, 36, 33, 72 %, 7 %
83.57 W, 36, 33, 91 %, 8 %
81.61 W, 36, 33, 88 %, 8 %
80.63 W, 36, 33, 92 %, 8 %
85.04 W, 36, 33, 93 %, 8 %
84.55 W, 36, 33, 88 %, 8 %
82.59 W, 36, 33, 83 %, 7 %
80.14 W, 36, 33, 89 %, 8 %
84.06 W, 36, 33, 78 %, 7 %
83.08 W, 36, 33, 81 %, 7 %
83.57 W, 36, 33, 91 %, 8 %
79.15 W, 36, 33, 73 %, 7 %
83.08 W, 36, 33, 72 %, 7 %
82.59 W, 36, 33, 78 %, 7 %
79.64 W, 36, 33, 88 %, 8 %
84.06 W, 36, 33, 91 %, 8 %
81.12 W, 36, 33, 89 %, 8 %
83.08 W, 36, 33, 71 %, 7 %
84.55 W, 36, 33, 80 %, 7 %
83.08 W, 36, 33, 88 %, 8 %
83.08 W, 36, 33, 90 %, 8 %
82.59 W, 36, 33, 86 %, 8 %
82.10 W, 36, 33, 86 %, 8 %
