39.94 W, 32, 30, 0 %, 0 %
39.94 W, 32, 30, 0 %, 0 %
39.94 W, 32, 30, 0 %, 0 %
56.61 W, 33, 30, 4 %, 0 %
58.08 W, 33, 30, 26 %, 1 %
58.58 W, 33, 30, 19 %, 1 %
57.59 W, 34, 30, 20 %, 1 %
57.10 W, 34, 30, 22 %, 1 %
56.61 W, 34, 30, 25 %, 1 %
56.61 W, 34, 30, 26 %, 1 %
57.59 W, 34, 30, 21 %, 1 %
84.06 W, 35, 31, 82 %, 8 %
84.55 W, 35, 31, 87 %, 8 %
82.59 W, 35, 31, 82 %, 8 %
80.14 W, 35, 31, 95 %, 8 %
84.55 W, 35, 31, 90 %, 8 %
84.55 W, 35, 32, 77 %, 7 %
75.72 W, 35, 32, 90 %, 8 %
82.59 W, 35, 32, 79 %, 7 %
84.55 W, 35, 32, 93 %, 8 %
86.03 W, 35, 32, 86 %, 8 %
84.06 W, 36, 32, 97 %, 8 %
85.04 W, 36, 32, 91 %, 8 %
80.63 W, 36, 32, 95 %, 8 %
84.06 W, 36, 32, 85 %, 8 %
82.10 W, 36, 32, 85 %, 8 %
82.59 W, 36, 32, 81 %, 7 %
78.66 W, 36, 32, 84 %, 8 %
81.61 W, 36, 32, 87 %, 8 %
84.55 W, 36, 32, 90 %, 8 %
83.57 W, 36, 32, 93 %, 8 %
81.61 W, 36, 33, 81 %, 7 %
79.64 W, 36, 33, 90 %, 8 %
82.10 W, 36, 33, 79 %, 7 %
84.06 W, 36, 33, 91 %, 8 %
80.14 W, 36, 33, 79 %, 7 %
76.70 W, 36, 33, 87 %, 8 %
82.59 W, 36, 33, 85 %, 8 %
82.59 W, 36, 33, 85 %, 8 %
83.57 W, 36, 33, 87 %, 8 %
82.10 W, 36, 33, 89 %, 8 %
78.17 W, 36, 33, 85 %, 8 %
83.08 W, 36, 33, 87 %, 8 %
76.21 W, 36, 33, 87 %, 8 %
82.10 W, 36, 33, 78 %, 7 %
80.14 W, 37, 33, 88 %, 8 %
83.08 W, 36, 33, 76 %, 7 %
84.06 W, 36, 33, 94 %, 8 %
82.10 W, 36, 33, 88 %, 8 %
82.10 W, 37, 33, 81 %, 7 %
84.06 W, 37, 33, 84 %, 8 %
