40.43 W, 33, 30, 0 %, 0 %
40.43 W, 33, 30, 0 %, 0 %
57.59 W, 33, 30, 15 %, 1 %
58.08 W, 34, 30, 8 %, 0 %
58.08 W, 34, 30, 10 %, 0 %
58.58 W, 34, 30, 19 %, 1 %
62.51 W, 34, 30, 0 %, 0 %
62.96 W, 34, 31, 1 %, 0 %
212.47 W, 38, 36, 99 %, 39 %
208.91 W, 39, 37, 99 %, 39 %
225.53 W, 40, 38, 99 %, 39 %
203.53 W, 40, 38, 99 %, 39 %
189.84 W, 41, 38, 99 %, 39 %
192.90 W, 41, 39, 99 %, 39 %
200.73 W, 41, 39, 99 %, 39 %
202.68 W, 42, 39, 99 %, 39 %
197.79 W, 42, 40, 99 %, 39 %
208.91 W, 42, 40, 99 %, 39 %
187.03 W, 42, 40, 99 %, 39 %
206.82 W, 43, 41, 99 %, 40 %
196.81 W, 43, 41, 99 %, 39 %
187.64 W, 43, 41, 99 %, 39 %
214.78 W, 43, 41, 99 %, 39 %
198.28 W, 44, 41, 99 %, 39 %
211.84 W, 44, 42, 99 %, 39 %
202.77 W, 44, 42, 99 %, 39 %
223.23 W, 44, 42, 99 %, 39 %
205.62 W, 44, 42, 99 %, 39 %
190.82 W, 45, 42, 99 %, 39 %
211.35 W, 45, 43, 99 %, 39 %
205.62 W, 45, 43, 99 %, 40 %
198.15 W, 45, 43, 99 %, 40 %
208.77 W, 45, 43, 99 %, 39 %
199.75 W, 45, 43, 99 %, 39 %
197.79 W, 46, 43, 99 %, 39 %
227.49 W, 46, 44, 99 %, 40 %
207.09 W, 46, 44, 99 %, 39 %
208.28 W, 46, 44, 99 %, 39 %
209.89 W, 46, 44, 99 %, 39 %
182.62 W, 46, 44, 99 %, 38 %
183.11 W, 46, 44, 99 %, 39 %
197.30 W, 46, 44, 99 %, 39 %
211.21 W, 46, 44, 99 %, 39 %
183.60 W, 47, 45, 99 %, 39 %
221.62 W, 47, 45, 99 %, 39 %
198.41 W, 47, 45, 99 %, 39 %
205.49 W, 47, 45, 99 %, 39 %
198.77 W, 47, 45, 99 %, 38 %
212.19 W, 47, 45, 99 %, 39 %
207.79 W, 47, 45, 99 %, 39 %
189.11 W, 47, 45, 99 %, 39 %
213.17 W, 47, 46, 99 %, 40 %
217.22 W, 47, 46, 99 %, 39 %
219.03 W, 47, 46, 99 %, 39 %
214.29 W, 47, 46, 99 %, 39 %
209.26 W, 48, 46, 99 %, 39 %
210.86 W, 48, 46, 99 %, 39 %
195.47 W, 48, 46, 99 %, 39 %
234.67 W, 48, 46, 99 %, 39 %
205.97 W, 48, 46, 99 %, 39 %
219.66 W, 48, 46, 99 %, 39 %
189.11 W, 48, 46, 99 %, 39 %
194.73 W, 48, 46, 99 %, 39 %
206.33 W, 48, 46, 99 %, 39 %
196.68 W, 48, 46, 99 %, 39 %
209.40 W, 48, 46, 99 %, 39 %
212.68 W, 48, 46, 99 %, 40 %
211.49 W, 48, 46, 99 %, 37 %
219.32 W, 49, 47, 99 %, 44 %
163.76 W, 47, 46, 51 %, 31 %
225.38 W, 49, 46, 95 %, 51 %
241.51 W, 49, 47, 99 %, 48 %
110.99 W, 48, 46, 99 %, 48 %
202.33 W, 49, 47, 99 %, 39 %
202.68 W, 48, 47, 99 %, 39 %
233.05 W, 48, 47, 99 %, 39 %
202.20 W, 49, 47, 98 %, 37 %
224.07 W, 48, 47, 99 %, 39 %
228.32 W, 48, 47, 99 %, 39 %
238.09 W, 49, 47, 98 %, 38 %
189.47 W, 49, 45, 98 %, 38 %
213.66 W, 48, 46, 98 %, 38 %
238.58 W, 48, 47, 99 %, 38 %
199.13 W, 48, 46, 99 %, 39 %
211.21 W, 48, 47, 99 %, 38 %
227.83 W, 48, 47, 99 %, 38 %
224.90 W, 48, 47, 99 %, 40 %
215.61 W, 49, 47, 99 %, 40 %
214.29 W, 48, 46, 99 %, 40 %
238.58 W, 49, 47, 99 %, 38 %
204.86 W, 48, 47, 99 %, 39 %
224.07 W, 48, 47, 99 %, 39 %
200.73 W, 48, 47, 99 %, 40 %
197.04 W, 48, 47, 99 %, 39 %
225.53 W, 49, 47, 99 %, 38 %
203.53 W, 48, 47, 99 %, 39 %
220.35 W, 49, 47, 99 %, 39 %
210.38 W, 49, 47, 99 %, 39 %
198.28 W, 49, 47, 99 %, 40 %
233.69 W, 49, 47, 99 %, 39 %
215.75 W, 49, 47, 99 %, 39 %
237.91 W, 49, 47, 99 %, 38 %
206.60 W, 49, 47, 99 %, 39 %
234.49 W, 49, 48, 99 %, 39 %
210.38 W, 49, 47, 99 %, 39 %
