Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 61.5, Core 0: 33.3, Core 1: 80.0, Core 2: 100.0, Core 3: 100.0, Core 4: 20.0, Core 5: 100.0, Core 6: 20.0, Core 7: 83.3, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 64.3, Core 0: 20.0, Core 1: 100.0, Core 2: 0.0, Core 3: 80.0, Core 4: 100.0, Core 5: 0.0, Core 6: 100.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 63.4, Core 0: 40.0, Core 1: 25.0, Core 2: 85.7, Core 3: 80.0, Core 4: 80.0, Core 5: 100.0, Core 6: 80.0, Core 7: 16.7, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 62.8, Core 0: 80.0, Core 1: 33.3, Core 2: 100.0, Core 3: 80.0, Core 4: 100.0, Core 5: 100.0, Core 6: 33.3, Core 7: 0.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 62.1, Core 0: 100.0, Core 1: 75.0, Core 2: 100.0, Core 3: 25.0, Core 4: 25.0, Core 5: 75.0, Core 6: 100.0, Core 7: 0.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 63.6, Core 0: 75.0, Core 1: 100.0, Core 2: 33.3, Core 3: 66.7, Core 4: 100.0, Core 5: 40.0, Core 6: 25.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 70.5, Core 0: 100.0, Core 1: 100.0, Core 2: 0.0, Core 3: 83.3, Core 4: 0.0, Core 5: 28.6, Core 6: 100.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 64.3, Core 0: 100.0, Core 1: 100.0, Core 2: 0.0, Core 3: 100.0, Core 4: 16.7, Core 5: 83.3, Core 6: 80.0, Core 7: 40.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 63.0, Core 0: 40.0, Core 1: 75.0, Core 2: 100.0, Core 3: 100.0, Core 4: 33.3, Core 5: 66.7, Core 6: 25.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 62.2, Core 0: 20.0, Core 1: 80.0, Core 2: 100.0, Core 3: 80.0, Core 4: 40.0, Core 5: 16.7, Core 6: 100.0, Core 7: 80.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 60.6, Core 0: 50.0, Core 1: 100.0, Core 2: 25.0, Core 3: 80.0, Core 4: 100.0, Core 5: 50.0, Core 6: 20.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 61.9, Core 0: 25.0, Core 1: 100.0, Core 2: 80.0, Core 3: 0.0, Core 4: 16.7, Core 5: 80.0, Core 6: 100.0, Core 7: 83.3, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 66.7, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Core 4: 33.3, Core 5: 100.0, Core 6: 20.0, Core 7: 20.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 62.5, Core 0: 100.0, Core 1: 50.0, Core 2: 25.0, Core 3: 75.0, Core 4: 75.0, Core 5: 100.0, Core 6: 20.0, Core 7: 66.7, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 63.3, Core 0: 25.0, Core 1: 75.0, Core 2: 0.0, Core 3: 75.0, Core 4: 100.0, Core 5: 25.0, Core 6: 100.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 62.1, Core 0: 25.0, Core 1: 75.0, Core 2: 100.0, Core 3: 0.0, Core 4: 100.0, Core 5: 33.3, Core 6: 80.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 62.1, Core 0: 100.0, Core 1: 25.0, Core 2: 0.0, Core 3: 100.0, Core 4: 0.0, Core 5: 100.0, Core 6: 100.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 62.1, Core 0: 0.0, Core 1: 66.7, Core 2: 100.0, Core 3: 25.0, Core 4: 75.0, Core 5: 100.0, Core 6: 0.0, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 63.4, Core 0: 20.0, Core 1: 80.0, Core 2: 0.0, Core 3: 83.3, Core 4: 83.3, Core 5: 100.0, Core 6: 0.0, Core 7: 85.7, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 63.4, Core 0: 80.0, Core 1: 33.3, Core 2: 20.0, Core 3: 83.3, Core 4: 16.7, Core 5: 80.0, Core 6: 100.0, Core 7: 83.3, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 64.3, Core 0: 100.0, Core 1: 20.0, Core 2: 60.0, Core 3: 83.3, Core 4: 20.0, Core 5: 0.0, Core 6: 83.3, Core 7: 100.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 63.3, Core 0: 25.0, Core 1: 75.0, Core 2: 75.0, Core 3: 100.0, Core 4: 25.0, Core 5: 100.0, Core 6: 33.3, Core 7: 75.0, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 65.9, Core 0: 83.3, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Core 4: 16.7, Core 5: 85.7, Core 6: 16.7, Core 7: 16.7, 
Frequency: Avg: 2500.0, Core 0: 2500.0, Core 1: 2500.0, Core 2: 2500.0, Core 3: 2500.0, Core 4: 2500.0, Core 5: 2500.0, Core 6: 2500.0, Core 7: 2500.0, Temp: Util: Avg: 65.1, Core 0: 80.0, Core 1: 20.0, Core 2: 16.7, Core 3: 80.0, Core 4: 100.0, Core 5: 83.3, Core 6: 40.0, Core 7: 83.3, 
