39.94 W, 32, 29, 0 %, 0 %
39.94 W, 32, 29, 0 %, 0 %
57.10 W, 33, 29, 11 %, 0 %
56.61 W, 33, 30, 16 %, 0 %
56.61 W, 33, 30, 10 %, 0 %
57.10 W, 33, 30, 13 %, 0 %
74.25 W, 34, 30, 42 %, 4 %
72.28 W, 34, 31, 46 %, 4 %
75.72 W, 34, 31, 48 %, 4 %
74.74 W, 34, 31, 37 %, 4 %
76.70 W, 34, 31, 41 %, 4 %
74.74 W, 34, 31, 45 %, 4 %
75.72 W, 35, 31, 42 %, 4 %
73.26 W, 35, 31, 47 %, 4 %
75.23 W, 35, 31, 48 %, 4 %
76.70 W, 35, 31, 37 %, 4 %
180.29 W, 37, 34, 92 %, 27 %
187.88 W, 38, 35, 98 %, 27 %
118.27 W, 38, 35, 93 %, 26 %
168.54 W, 39, 36, 95 %, 29 %
138.68 W, 39, 36, 91 %, 27 %
169.41 W, 39, 36, 90 %, 26 %
112.39 W, 39, 36, 91 %, 26 %
188.98 W, 40, 37, 96 %, 28 %
192.05 W, 40, 37, 94 %, 28 %
187.27 W, 40, 38, 91 %, 29 %
206.46 W, 41, 37, 89 %, 27 %
197.17 W, 41, 38, 97 %, 30 %
132.89 W, 41, 38, 91 %, 25 %
189.11 W, 41, 38, 94 %, 28 %
165.61 W, 41, 38, 92 %, 28 %
154.84 W, 41, 38, 92 %, 27 %
189.84 W, 42, 38, 91 %, 28 %
188.01 W, 42, 38, 93 %, 28 %
160.22 W, 42, 39, 85 %, 26 %
141.71 W, 42, 39, 89 %, 26 %
130.53 W, 42, 40, 94 %, 27 %
168.54 W, 42, 39, 90 %, 29 %
163.05 W, 42, 39, 92 %, 27 %
211.84 W, 43, 39, 93 %, 29 %
203.66 W, 43, 39, 95 %, 26 %
156.41 W, 43, 40, 97 %, 30 %
185.44 W, 43, 40, 90 %, 26 %
162.56 W, 43, 41, 88 %, 27 %
184.70 W, 43, 40, 97 %, 29 %
196.68 W, 44, 41, 96 %, 30 %
175.77 W, 43, 40, 80 %, 32 %
130.44 W, 43, 40, 86 %, 34 %
184.21 W, 43, 40, 90 %, 27 %
166.59 W, 43, 41, 90 %, 28 %
141.22 W, 44, 41, 98 %, 29 %
207.31 W, 44, 41, 94 %, 28 %
203.17 W, 44, 42, 96 %, 30 %
164.52 W, 45, 42, 93 %, 27 %
188.13 W, 45, 41, 93 %, 28 %
169.52 W, 45, 42, 90 %, 25 %
160.82 W, 45, 42, 93 %, 28 %
129.55 W, 44, 42, 88 %, 26 %
165.99 W, 45, 42, 87 %, 26 %
161.20 W, 45, 42, 92 %, 29 %
138.86 W, 45, 42, 90 %, 27 %
183.23 W, 45, 42, 93 %, 27 %
195.83 W, 44, 42, 89 %, 26 %
192.77 W, 45, 42, 88 %, 26 %
161.20 W, 45, 43, 95 %, 30 %
164.63 W, 45, 43, 98 %, 31 %
207.93 W, 45, 43, 89 %, 27 %
148.08 W, 45, 42, 91 %, 27 %
206.68 W, 45, 42, 91 %, 27 %
220.79 W, 45, 42, 98 %, 30 %
146.12 W, 44, 42, 94 %, 27 %
197.79 W, 45, 42, 95 %, 28 %
150.43 W, 45, 43, 98 %, 31 %
190.09 W, 45, 42, 93 %, 29 %
167.18 W, 45, 43, 96 %, 30 %
149.94 W, 45, 42, 90 %, 25 %
129.14 W, 44, 42, 89 %, 26 %
124.64 W, 45, 42, 88 %, 27 %
146.61 W, 44, 41, 36 %, 3 %
175.77 W, 44, 42, 76 %, 33 %
144.65 W, 43, 40, 35 %, 3 %
158.37 W, 45, 42, 89 %, 26 %
198.41 W, 44, 41, 90 %, 28 %
158.16 W, 45, 42, 93 %, 28 %
175.89 W, 45, 43, 96 %, 29 %
159.24 W, 45, 43, 93 %, 27 %
151.02 W, 45, 43, 92 %, 27 %
166.59 W, 45, 43, 89 %, 25 %
138.77 W, 45, 42, 90 %, 25 %
167.08 W, 45, 43, 96 %, 30 %
208.20 W, 45, 42, 91 %, 26 %
208.91 W, 45, 42, 93 %, 26 %
212.82 W, 45, 42, 95 %, 27 %
144.25 W, 45, 42, 88 %, 25 %
191.18 W, 45, 42, 94 %, 26 %
197.04 W, 45, 43, 94 %, 27 %
161.31 W, 45, 43, 94 %, 27 %
169.03 W, 46, 42, 90 %, 27 %
130.61 W, 45, 43, 92 %, 26 %
157.77 W, 45, 43, 99 %, 29 %
178.22 W, 45, 43, 94 %, 28 %
172.20 W, 45, 43, 93 %, 29 %
211.14 W, 45, 43, 93 %, 27 %
160.33 W, 45, 43, 94 %, 25 %
191.92 W, 45, 43, 90 %, 27 %
136.90 W, 45, 43, 93 %, 26 %
171.37 W, 45, 43, 92 %, 28 %
167.95 W, 45, 43, 96 %, 27 %
209.40 W, 45, 43, 95 %, 27 %
167.95 W, 45, 43, 93 %, 29 %
167.08 W, 46, 43, 94 %, 28 %
163.16 W, 44, 42, 37 %, 4 %
127.58 W, 45, 43, 85 %, 33 %
103.07 W, 43, 41, 32 %, 3 %
